
Image 15 |  PSNR - 31.031930960681414 | MSE - 153.8184814453125 | MAE - 790258.0
Image 16 |  PSNR - 36.352309652533144 | MSE - 45.18254089355469 | MAE - 528049.0
Image 17 |  PSNR - 42.76880067671102 | MSE - 10.311492919921875 | MAE - 207988.0
Image 18 |  PSNR - 22.321125884420155 | MSE - 1143.1126403808594 | MAE - 2578348.0
Image 19 |  PSNR - 35.0014336890723 | MSE - 61.66777038574219 | MAE - 587861.0
Image 20 |  PSNR - 28.515019418077188 | MSE - 274.5994567871094 | MAE - 1176534.0
Image 21 |  PSNR - 43.13707452224587 | MSE - 9.47314453125 | MAE - 198786.0
Image 22 |  PSNR - 31.928497398292404 | MSE - 125.12724304199219 | MAE - 928491.0
Image 23 |  PSNR - 29.577244445102686 | MSE - 215.0191650390625 | MAE - 919542.0
Image 24 |  PSNR - 28.47383006750993 | MSE - 277.21620178222656 | MAE - 1360785.0
Image 25 |  PSNR - 39.06817260692543 | MSE - 24.175994873046875 | MAE - 352330.0
Image 26 |  PSNR - 42.58233777629863 | MSE - 10.76385498046875 | MAE - 215052.0
Image 27 |  PSNR - 35.87479203244381 | MSE - 50.43388366699219 | MAE - 534187.0
Image 28 |  PSNR - 33.773462321865445 | MSE - 81.81922912597656 | MAE - 699895.0
Image 29 |  PSNR - 38.68421611976115 | MSE - 26.41070556640625 | MAE - 377598.0
Image 30 |  PSNR - 32.59615592122748 | MSE - 107.29661560058594 | MAE - 728513.0
Image 31 |  PSNR - 24.708022086663185 | MSE - 659.7803955078125 | MAE - 1913654.0
Image 32 |  PSNR - 38.73559229388284 | MSE - 26.100112915039062 | MAE - 336313.0
Image 33 |  PSNR - 36.88603261022296 | MSE - 39.95750427246094 | MAE - 496253.0
Image 34 |  PSNR - 27.742344004928864 | MSE - 328.0705261230469 | MAE - 1241570.0
Image 35 |  PSNR - 23.5808242919953 | MSE - 855.3014068603516 | MAE - 2167857.0
Image 36 |  PSNR - 38.02627686612052 | MSE - 30.730804443359375 | MAE - 396674.0
Image 37 |  PSNR - 43.19616580150459 | MSE - 9.345123291015625 | MAE - 238098.0
Image 38 |  PSNR - 40.05387556728297 | MSE - 19.266998291015625 | MAE - 337354.0
Image 39 |  PSNR - 34.478414858950046 | MSE - 69.56008911132812 | MAE - 534624.0
Image 40 |  PSNR - 36.28058495018675 | MSE - 45.9349365234375 | MAE - 499030.0
Image 41 |  PSNR - 40.60586132328584 | MSE - 16.9674072265625 | MAE - 300274.0
Image 42 |  PSNR - 32.03068169868645 | MSE - 122.21751403808594 | MAE - 701045.0
Image 43 |  PSNR - 38.31770110984767 | MSE - 28.736343383789062 | MAE - 284479.0
Image 44 |  PSNR - 28.776537876409314 | MSE - 258.5519561767578 | MAE - 1123137.0
Image 45 |  PSNR - 15.04527916973766 | MSE - 6104.831741333008 | MAE - 6596621.0
Image 46 |  PSNR - 36.081114583954886 | MSE - 48.09391784667969 | MAE - 478085.0
Image 47 |  PSNR - 44.496247367594464 | MSE - 6.9275054931640625 | MAE - 183955.0
Image 48 |  PSNR - 35.167313866667946 | MSE - 59.35676574707031 | MAE - 531317.0
Image 49 |  PSNR - 26.311258461884304 | MSE - 456.1164855957031 | MAE - 1554568.0
Image 50 |  PSNR - 34.55441049897117 | MSE - 68.35346984863281 | MAE - 716345.0
Image 51 |  PSNR - 37.08875494614696 | MSE - 38.13520812988281 | MAE - 458849.0
Image 52 |  PSNR - 29.200843722248674 | MSE - 234.48617553710938 | MAE - 1036778.0
Image 53 |  PSNR - 33.60418679881754 | MSE - 85.07127380371094 | MAE - 636643.0
Image 54 |  PSNR - 36.59154831306469 | MSE - 42.760894775390625 | MAE - 454392.0
Image 55 |  PSNR - 27.896772590868558 | MSE - 316.60980224609375 | MAE - 1175830.0
Image 56 |  PSNR - 45.698441842699474 | MSE - 5.2523956298828125 | MAE - 180447.0
Image 57 |  PSNR - 39.342105578283 | MSE - 22.69818115234375 | MAE - 326164.0
Image 58 |  PSNR - 35.335242629338026 | MSE - 57.10542297363281 | MAE - 487929.0
Image 59 |  PSNR - 33.470149099949246 | MSE - 87.73779296875 | MAE - 641054.0
Image 60 |  PSNR - 26.0236911115758 | MSE - 487.3404998779297 | MAE - 1290741.0
Image 61 |  PSNR - 38.24632527230056 | MSE - 29.2125244140625 | MAE - 376624.0
Image 62 |  PSNR - 32.938982301218864 | MSE - 99.15243530273438 | MAE - 544844.0
Image 63 |  PSNR - 24.143261686959576 | MSE - 751.4073638916016 | MAE - 1829193.0
Image 64 |  PSNR - 35.08139872849276 | MSE - 60.542694091796875 | MAE - 507124.0
Image 65 |  PSNR - 27.163415653074612 | MSE - 374.85218811035156 | MAE - 1420005.0
Image 66 |  PSNR - 36.93620625919439 | MSE - 39.49853515625 | MAE - 410296.0
Image 67 |  PSNR - 40.457088655520025 | MSE - 17.5587158203125 | MAE - 300806.0
Image 68 |  PSNR - 37.00434059648762 | MSE - 38.883697509765625 | MAE - 442882.0
